slug,city,country,region,ridership_metric,ridership_vintage,population_basis,metric_known,denominator_consistent,vintage_comparable,usable_for_ratio
quito,Quito,Ecuador,South America,unknown,2025,demographia_built_up,false,true,true,true
xiamen,Xiamen,China,Asia,unknown,2019,demographia_built_up,false,true,false,false
san-francisco-bart,San Francisco Bay Area,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
dublin,Dublin,Ireland,Europe,unknown,2024,demographia_built_up,false,true,true,true
ahmedabad,Ahmedabad,India,Asia,unknown,2025,demographia_built_up,false,true,true,true
lausanne,Lausanne,Switzerland,Europe,unknown,2023,other,false,false,true,false
manchester,Manchester,United Kingdom,Europe,unknown,2025,demographia_built_up,false,true,true,true
algiers,Algiers,Algeria,Africa,unknown,2023,demographia_built_up,false,true,true,true
rennes,Rennes,France,Europe,unknown,2022,other,false,false,true,false
brasilia,Brasília,Brazil,South America,unknown,2025,demographia_built_up,false,true,true,true
jakarta,Jakarta,Indonesia,Asia,unknown,2024,demographia_built_up,false,true,true,true
naples,Naples,Italy,Europe,unknown,2024,demographia_built_up,false,true,true,true
san-diego,San Diego,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
seattle,Seattle,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
turin,Turin,Italy,Europe,unknown,2023,demographia_built_up,false,true,true,true
tel-aviv,Tel Aviv,Israel,Middle East & Central Asia,unknown,2024,demographia_built_up,false,true,true,true
san-francisco-muni,San Francisco,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
newcastle,Newcastle / Tyne and Wear,United Kingdom,Europe,unknown,2025,other,false,false,true,false
rabat,Rabat,Morocco,Africa,unknown,2015,demographia_built_up,false,true,false,false
casablanca,Casablanca,Morocco,Africa,unknown,2018,demographia_built_up,false,true,false,false
atlanta,Atlanta,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
thessaloniki,Thessaloniki,Greece,Europe,unknown,2025,other,false,false,true,false
miami,Miami,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
portland,Portland,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
dallas,Dallas,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
ottawa,Ottawa,Canada,North America,unknown,2024,other,false,false,true,false
ho-chi-minh-city,Ho Chi Minh City,Vietnam,Asia,unknown,2025,demographia_built_up,false,true,true,true
addis-ababa,Addis Ababa,Ethiopia,Africa,unknown,2023,demographia_built_up,false,true,true,true
porto-alegre,Porto Alegre,Brazil,South America,unknown,2024,demographia_built_up,false,true,true,true
hanoi,Hanoi,Vietnam,Asia,unknown,2025,demographia_built_up,false,true,true,true
shiraz,Shiraz,Iran,Middle East & Central Asia,unknown,2018,other,false,false,false,false
minneapolis,Minneapolis–St. Paul,United States,North America,unlinked_boardings,2024,demographia_built_up,true,true,true,true
salt-lake-city,Salt Lake City,United States,North America,unlinked_boardings,2025,demographia_built_up,true,true,true,true
